,Country,Family,Freedom,GDP per Capita,Generosity,Happiness Rank,Happiness Score,Life Expectancy,Region,Trust (Government Corruption),Year
135,Yemen,0.68093,0.35570999999999997,0.5464899999999999,0.09131,136,4.077,0.40064,Middle East and Northern Africa,0.07854,2015
136,Angola,0.8604,0.10384000000000002,0.75778,0.12344000000000001,137,4.033,0.16683,Sub-Saharan Africa,0.07122,2015
137,Mali,1.03526,0.38856999999999997,0.26074,0.18798,138,3.995,0.20583,Sub-Saharan Africa,0.12352,2015
138,Congo (Brazzaville),0.6629,0.41466000000000003,0.67866,0.12387999999999999,139,3.989,0.31051,Sub-Saharan Africa,0.11685999999999999,2015
139,Comoros,0.79273,0.22916999999999998,0.23906,0.17440999999999998,140,3.9560000000000004,0.36315,Sub-Saharan Africa,0.19899999999999998,2015
140,Uganda,1.13299,0.45726999999999995,0.21101999999999999,0.29066,141,3.931,0.33860999999999997,Sub-Saharan Africa,0.07267,2015
141,Senegal,0.97619,0.36772,0.36498,0.20843000000000003,142,3.904,0.4354,Sub-Saharan Africa,0.10712999999999999,2015
142,Gabon,0.90528,0.31914000000000003,1.06024,0.06822,143,3.8960000000000004,0.43372,Sub-Saharan Africa,0.11091,2015
143,Niger,0.77265,0.47691999999999996,0.0694,0.19387000000000001,144,3.845,0.29707,Sub-Saharan Africa,0.15639,2015
144,Cambodia,0.62736,0.66246,0.46038,0.40359,145,3.819,0.61114,Southeastern Asia,0.07247,2015
145,Tanzania,1.00268,0.32878,0.2852,0.34376999999999996,146,3.781,0.38215,Sub-Saharan Africa,0.05747000000000001,2015
146,Madagascar,0.66801,0.19184,0.20824,0.21333000000000002,147,3.681,0.46721,Sub-Saharan Africa,0.08123999999999999,2015
147,Central African Republic,0.0,0.48878999999999995,0.0785,0.23835,148,3.678,0.06699,Sub-Saharan Africa,0.08288999999999999,2015
148,Chad,0.76062,0.23501,0.34193,0.18386,149,3.667,0.1501,Sub-Saharan Africa,0.05269,2015
149,Guinea,0.46475,0.37725,0.17417,0.28657,150,3.656,0.24009,Sub-Saharan Africa,0.12139000000000001,2015
150,Ivory Coast,0.77115,0.46866,0.46534,0.20165,151,3.655,0.15185,Sub-Saharan Africa,0.17922000000000002,2015
151,Burkina Faso,0.85188,0.39493,0.25811999999999996,0.21746999999999997,152,3.5869999999999997,0.27125,Sub-Saharan Africa,0.12832000000000002,2015
152,Afghanistan,0.30285,0.23414000000000001,0.31982,0.3651,153,3.575,0.30335,Southern Asia,0.09719,2015
153,Rwanda,0.7737,0.59201,0.22208000000000003,0.22628,154,3.465,0.42863999999999997,Sub-Saharan Africa,0.55191,2015
154,Benin,0.35386,0.4845,0.28665,0.1826,155,3.34,0.3191,Sub-Saharan Africa,0.0801,2015
155,Syria,0.47489,0.15684,0.6632,0.47179,156,3.0060000000000002,0.7219300000000001,Middle East and Northern Africa,0.18905999999999998,2015
156,Burundi,0.41586999999999996,0.1185,0.0153,0.19727,157,2.905,0.22396,Sub-Saharan Africa,0.10062,2015
157,Togo,0.13995,0.36453,0.20868,0.16680999999999999,158,2.839,0.28443,Sub-Saharan Africa,0.10730999999999999,2015
158,Denmark,1.16374,0.5794100000000001,1.4417799999999998,0.36171,1,7.526,0.79504,Western Europe,0.44453000000000004,2016
159,Switzerland,1.14524,0.58557,1.5273299999999999,0.28083,2,7.5089999999999995,0.86303,Western Europe,0.41203,2016
160,Iceland,1.18326,0.56624,1.42666,0.47678000000000004,3,7.501,0.8673299999999999,Western Europe,0.14975,2016
161,Norway,1.1269,0.59609,1.57744,0.37895,4,7.497999999999999,0.79579,Western Europe,0.35775999999999997,2016
162,Finland,1.1346399999999999,0.57104,1.40598,0.25492,5,7.412999999999999,0.81091,Western Europe,0.41003999999999996,2016
163,Canada,1.0961,0.5737,1.44015,0.44833999999999996,6,7.404,0.8276,North America,0.31329,2016
164,Netherlands,1.02912,0.55211,1.46468,0.47416,7,7.3389999999999995,0.8123100000000001,Western Europe,0.29927,2016
165,New Zealand,1.17278,0.5814699999999999,1.36066,0.49401000000000006,8,7.334,0.83096,Australia and New Zealand,0.41903999999999997,2016
166,Australia,1.10476,0.5683699999999999,1.4444299999999999,0.47407,9,7.313,0.8512,Australia and New Zealand,0.32331,2016
167,Sweden,1.08764,0.58218,1.45181,0.38254,10,7.291,0.83121,Western Europe,0.40867,2016
